"Series";"Time";"Value"
"js3-node1";"2018-08-04T12:36:30-04:00";0
"js3-node1";"2018-08-04T12:37:00-04:00";null
"js3-node1";"2018-08-04T12:37:30-04:00";null
"js3-node1";"2018-08-04T12:38:00-04:00";null
"js3-node1";"2018-08-04T12:38:30-04:00";null
"js3-node1";"2018-08-04T12:39:00-04:00";null
"js3-node1";"2018-08-04T12:39:30-04:00";0.01
"js3-node1";"2018-08-04T12:40:00-04:00";null
"js3-node1";"2018-08-04T12:40:30-04:00";null
"js3-node1";"2018-08-04T12:41:00-04:00";null
"js3-node1";"2018-08-04T12:41:30-04:00";null
"js3-node1";"2018-08-04T12:42:00-04:00";null
"js3-node1";"2018-08-04T12:42:30-04:00";0
"js3-node1";"2018-08-04T12:43:00-04:00";null
"js3-node1";"2018-08-04T12:43:30-04:00";null
"js3-node1";"2018-08-04T12:44:00-04:00";null
"js3-node1";"2018-08-04T12:44:30-04:00";null
"js3-node1";"2018-08-04T12:45:00-04:00";null
"js3-node1";"2018-08-04T12:45:30-04:00";0
"js3-node1";"2018-08-04T12:46:00-04:00";null
"js3-node1";"2018-08-04T12:46:30-04:00";null
"js3-node1";"2018-08-04T12:47:00-04:00";null
"js3-node1";"2018-08-04T12:47:30-04:00";null
"js3-node1";"2018-08-04T12:48:00-04:00";null
"js3-node1";"2018-08-04T12:48:30-04:00";0.01
"js3-node1";"2018-08-04T12:49:00-04:00";null
"js3-node1";"2018-08-04T12:49:30-04:00";null
"js3-node1";"2018-08-04T12:50:00-04:00";null
"js3-node1";"2018-08-04T12:50:30-04:00";null
"js3-node1";"2018-08-04T12:51:00-04:00";null
"js3-node1";"2018-08-04T12:51:30-04:00";0
"js3-node1";"2018-08-04T12:52:00-04:00";null
"js3-node1";"2018-08-04T12:52:30-04:00";null
"js3-node1";"2018-08-04T12:53:00-04:00";null
"js3-node1";"2018-08-04T12:53:30-04:00";null
"js3-node1";"2018-08-04T12:54:00-04:00";null
"js3-node1";"2018-08-04T12:54:30-04:00";0
"js3-node1";"2018-08-04T12:55:00-04:00";null
"js3-node1";"2018-08-04T12:55:30-04:00";null
"js3-node1";"2018-08-04T12:56:00-04:00";null
