"Series";"Time";"Value"
"js3-node1";"2018-08-09T20:20:00-04:00";null
"js3-node1";"2018-08-09T20:20:20-04:00";null
"js3-node1";"2018-08-09T20:20:40-04:00";null
"js3-node1";"2018-08-09T20:21:00-04:00";0
"js3-node1";"2018-08-09T20:21:20-04:00";null
"js3-node1";"2018-08-09T20:21:40-04:00";null
"js3-node1";"2018-08-09T20:22:00-04:00";null
"js3-node1";"2018-08-09T20:22:20-04:00";null
"js3-node1";"2018-08-09T20:22:40-04:00";null
"js3-node1";"2018-08-09T20:23:00-04:00";null
"js3-node1";"2018-08-09T20:23:20-04:00";null
"js3-node1";"2018-08-09T20:23:40-04:00";null
"js3-node1";"2018-08-09T20:24:00-04:00";0
"js3-node1";"2018-08-09T20:24:20-04:00";null
"js3-node1";"2018-08-09T20:24:40-04:00";null
"js3-node1";"2018-08-09T20:25:00-04:00";null
"js3-node1";"2018-08-09T20:25:20-04:00";null
"js3-node1";"2018-08-09T20:25:40-04:00";null
"js3-node1";"2018-08-09T20:26:00-04:00";null
"js3-node1";"2018-08-09T20:26:20-04:00";null
"js3-node1";"2018-08-09T20:26:40-04:00";null
"js3-node1";"2018-08-09T20:27:00-04:00";0
"js3-node1";"2018-08-09T20:27:20-04:00";null
"js3-node1";"2018-08-09T20:27:40-04:00";null
"js3-node1";"2018-08-09T20:28:00-04:00";null
"js3-node1";"2018-08-09T20:28:20-04:00";null
"js3-node1";"2018-08-09T20:28:40-04:00";null
"js3-node1";"2018-08-09T20:29:00-04:00";null
"js3-node1";"2018-08-09T20:29:20-04:00";null
"js3-node1";"2018-08-09T20:29:40-04:00";null
"js3-node1";"2018-08-09T20:30:00-04:00";0
"js3-node1";"2018-08-09T20:30:20-04:00";null
"js3-node1";"2018-08-09T20:30:40-04:00";null
"js3-node1";"2018-08-09T20:31:00-04:00";null
"js3-node1";"2018-08-09T20:31:20-04:00";null
"js3-node1";"2018-08-09T20:31:40-04:00";null
"js3-node1";"2018-08-09T20:32:00-04:00";null
"js3-node1";"2018-08-09T20:32:20-04:00";null
"js3-node1";"2018-08-09T20:32:40-04:00";null
"js3-node1";"2018-08-09T20:33:00-04:00";0
"js3-node1";"2018-08-09T20:33:20-04:00";null
"js3-node1";"2018-08-09T20:33:40-04:00";null
"js3-node1";"2018-08-09T20:34:00-04:00";null
"js3-node1";"2018-08-09T20:34:20-04:00";null
"js3-node1";"2018-08-09T20:34:40-04:00";null
"js3-node1";"2018-08-09T20:35:00-04:00";null
"js3-node1";"2018-08-09T20:35:20-04:00";null
"js3-node1";"2018-08-09T20:35:40-04:00";null
"js3-node1";"2018-08-09T20:36:00-04:00";0.01
"js3-node1";"2018-08-09T20:36:20-04:00";null
"js3-node1";"2018-08-09T20:36:40-04:00";null
"js3-node1";"2018-08-09T20:37:00-04:00";null
"js3-node1";"2018-08-09T20:37:20-04:00";null
"js3-node1";"2018-08-09T20:37:40-04:00";null
"js3-node1";"2018-08-09T20:38:00-04:00";null
