"Series";"Time";"Value"
"js3-node1";"2018-08-02T21:13:40-04:00";null
"js3-node1";"2018-08-02T21:14:00-04:00";null
"js3-node1";"2018-08-02T21:14:20-04:00";null
"js3-node1";"2018-08-02T21:14:40-04:00";null
"js3-node1";"2018-08-02T21:15:00-04:00";null
"js3-node1";"2018-08-02T21:15:20-04:00";null
"js3-node1";"2018-08-02T21:15:40-04:00";0
"js3-node1";"2018-08-02T21:16:00-04:00";null
"js3-node1";"2018-08-02T21:16:20-04:00";null
"js3-node1";"2018-08-02T21:16:40-04:00";null
"js3-node1";"2018-08-02T21:17:00-04:00";null
"js3-node1";"2018-08-02T21:17:20-04:00";null
"js3-node1";"2018-08-02T21:17:40-04:00";null
"js3-node1";"2018-08-02T21:18:00-04:00";null
"js3-node1";"2018-08-02T21:18:20-04:00";null
"js3-node1";"2018-08-02T21:18:40-04:00";0
"js3-node1";"2018-08-02T21:19:00-04:00";null
"js3-node1";"2018-08-02T21:19:20-04:00";null
"js3-node1";"2018-08-02T21:19:40-04:00";null
"js3-node1";"2018-08-02T21:20:00-04:00";null
"js3-node1";"2018-08-02T21:20:20-04:00";null
"js3-node1";"2018-08-02T21:20:40-04:00";null
"js3-node1";"2018-08-02T21:21:00-04:00";null
"js3-node1";"2018-08-02T21:21:20-04:00";null
"js3-node1";"2018-08-02T21:21:40-04:00";0
"js3-node1";"2018-08-02T21:22:00-04:00";null
"js3-node1";"2018-08-02T21:22:20-04:00";null
"js3-node1";"2018-08-02T21:22:40-04:00";null
"js3-node1";"2018-08-02T21:23:00-04:00";null
"js3-node1";"2018-08-02T21:23:20-04:00";null
"js3-node1";"2018-08-02T21:23:40-04:00";null
"js3-node1";"2018-08-02T21:24:00-04:00";null
"js3-node1";"2018-08-02T21:24:20-04:00";null
"js3-node1";"2018-08-02T21:24:40-04:00";0.02
"js3-node1";"2018-08-02T21:25:00-04:00";null
"js3-node1";"2018-08-02T21:25:20-04:00";null
"js3-node1";"2018-08-02T21:25:40-04:00";null
"js3-node1";"2018-08-02T21:26:00-04:00";null
