"Series";"Time";"Value"
"js3-node1";"2018-08-04T21:37:30-04:00";null
"js3-node1";"2018-08-04T21:38:00-04:00";null
"js3-node1";"2018-08-04T21:38:30-04:00";null
"js3-node1";"2018-08-04T21:39:00-04:00";null
"js3-node1";"2018-08-04T21:39:30-04:00";0
"js3-node1";"2018-08-04T21:40:00-04:00";null
"js3-node1";"2018-08-04T21:40:30-04:00";null
"js3-node1";"2018-08-04T21:41:00-04:00";null
"js3-node1";"2018-08-04T21:41:30-04:00";null
"js3-node1";"2018-08-04T21:42:00-04:00";null
"js3-node1";"2018-08-04T21:42:30-04:00";0.01
"js3-node1";"2018-08-04T21:43:00-04:00";null
"js3-node1";"2018-08-04T21:43:30-04:00";null
"js3-node1";"2018-08-04T21:44:00-04:00";null
"js3-node1";"2018-08-04T21:44:30-04:00";null
"js3-node1";"2018-08-04T21:45:00-04:00";null
"js3-node1";"2018-08-04T21:45:30-04:00";0
"js3-node1";"2018-08-04T21:46:00-04:00";null
"js3-node1";"2018-08-04T21:46:30-04:00";null
"js3-node1";"2018-08-04T21:47:00-04:00";null
"js3-node1";"2018-08-04T21:47:30-04:00";null
"js3-node1";"2018-08-04T21:48:00-04:00";null
"js3-node1";"2018-08-04T21:48:30-04:00";0
"js3-node1";"2018-08-04T21:49:00-04:00";null
"js3-node1";"2018-08-04T21:49:30-04:00";null
"js3-node1";"2018-08-04T21:50:00-04:00";null
"js3-node1";"2018-08-04T21:50:30-04:00";null
"js3-node1";"2018-08-04T21:51:00-04:00";null
"js3-node1";"2018-08-04T21:51:30-04:00";0
"js3-node1";"2018-08-04T21:52:00-04:00";null
"js3-node1";"2018-08-04T21:52:30-04:00";null
"js3-node1";"2018-08-04T21:53:00-04:00";null
"js3-node1";"2018-08-04T21:53:30-04:00";null
"js3-node1";"2018-08-04T21:54:00-04:00";null
"js3-node1";"2018-08-04T21:54:30-04:00";0
"js3-node1";"2018-08-04T21:55:00-04:00";null
"js3-node1";"2018-08-04T21:55:30-04:00";null
"js3-node1";"2018-08-04T21:56:00-04:00";null
"js3-node1";"2018-08-04T21:56:30-04:00";null
"js3-node1";"2018-08-04T21:57:00-04:00";null
"js3-node1";"2018-08-04T21:57:30-04:00";0
"js3-node1";"2018-08-04T21:58:00-04:00";null
"js3-node1";"2018-08-04T21:58:30-04:00";null
"js3-node1";"2018-08-04T21:59:00-04:00";null
"js3-node1";"2018-08-04T21:59:30-04:00";null
"js3-node1";"2018-08-04T22:00:00-04:00";null
