"Series";"Time";"Value"
"js3-node1";"2018-08-10T23:25:40-04:00";null
"js3-node1";"2018-08-10T23:26:00-04:00";null
"js3-node1";"2018-08-10T23:26:20-04:00";null
"js3-node1";"2018-08-10T23:26:40-04:00";null
"js3-node1";"2018-08-10T23:27:00-04:00";0
"js3-node1";"2018-08-10T23:27:20-04:00";null
"js3-node1";"2018-08-10T23:27:40-04:00";null
"js3-node1";"2018-08-10T23:28:00-04:00";null
"js3-node1";"2018-08-10T23:28:20-04:00";null
"js3-node1";"2018-08-10T23:28:40-04:00";null
"js3-node1";"2018-08-10T23:29:00-04:00";null
"js3-node1";"2018-08-10T23:29:20-04:00";null
"js3-node1";"2018-08-10T23:29:40-04:00";null
"js3-node1";"2018-08-10T23:30:00-04:00";0
"js3-node1";"2018-08-10T23:30:20-04:00";null
"js3-node1";"2018-08-10T23:30:40-04:00";null
"js3-node1";"2018-08-10T23:31:00-04:00";null
"js3-node1";"2018-08-10T23:31:20-04:00";null
"js3-node1";"2018-08-10T23:31:40-04:00";null
"js3-node1";"2018-08-10T23:32:00-04:00";null
"js3-node1";"2018-08-10T23:32:20-04:00";null
"js3-node1";"2018-08-10T23:32:40-04:00";null
"js3-node1";"2018-08-10T23:33:00-04:00";0
"js3-node1";"2018-08-10T23:33:20-04:00";null
"js3-node1";"2018-08-10T23:33:40-04:00";null
"js3-node1";"2018-08-10T23:34:00-04:00";null
"js3-node1";"2018-08-10T23:34:20-04:00";null
"js3-node1";"2018-08-10T23:34:40-04:00";null
"js3-node1";"2018-08-10T23:35:00-04:00";null
"js3-node1";"2018-08-10T23:35:20-04:00";null
"js3-node1";"2018-08-10T23:35:40-04:00";null
"js3-node1";"2018-08-10T23:36:00-04:00";0
"js3-node1";"2018-08-10T23:36:20-04:00";null
"js3-node1";"2018-08-10T23:36:40-04:00";null
"js3-node1";"2018-08-10T23:37:00-04:00";null
"js3-node1";"2018-08-10T23:37:20-04:00";null
"js3-node1";"2018-08-10T23:37:40-04:00";null
"js3-node1";"2018-08-10T23:38:00-04:00";null
"js3-node1";"2018-08-10T23:38:20-04:00";null
"js3-node1";"2018-08-10T23:38:40-04:00";null
"js3-node1";"2018-08-10T23:39:00-04:00";0
"js3-node1";"2018-08-10T23:39:20-04:00";null
"js3-node1";"2018-08-10T23:39:40-04:00";null
"js3-node1";"2018-08-10T23:40:00-04:00";null
"js3-node1";"2018-08-10T23:40:20-04:00";null
"js3-node1";"2018-08-10T23:40:40-04:00";null
"js3-node1";"2018-08-10T23:41:00-04:00";null
"js3-node1";"2018-08-10T23:41:20-04:00";null
"js3-node1";"2018-08-10T23:41:40-04:00";null
"js3-node1";"2018-08-10T23:42:00-04:00";0
"js3-node1";"2018-08-10T23:42:20-04:00";null
"js3-node1";"2018-08-10T23:42:40-04:00";null
"js3-node1";"2018-08-10T23:43:00-04:00";null
"js3-node1";"2018-08-10T23:43:20-04:00";null
"js3-node1";"2018-08-10T23:43:40-04:00";null
"js3-node1";"2018-08-10T23:44:00-04:00";null
"js3-node1";"2018-08-10T23:44:20-04:00";null
"js3-node1";"2018-08-10T23:44:40-04:00";null
"js3-node1";"2018-08-10T23:45:00-04:00";0
"js3-node1";"2018-08-10T23:45:20-04:00";null
"js3-node1";"2018-08-10T23:45:40-04:00";null
"js3-node1";"2018-08-10T23:46:00-04:00";null
"js3-node1";"2018-08-10T23:46:20-04:00";null
"js3-node1";"2018-08-10T23:46:40-04:00";null
"js3-node1";"2018-08-10T23:47:00-04:00";null
"js3-node1";"2018-08-10T23:47:20-04:00";null
"js3-node1";"2018-08-10T23:47:40-04:00";null
"js3-node1";"2018-08-10T23:48:00-04:00";0
"js3-node1";"2018-08-10T23:48:20-04:00";null
"js3-node1";"2018-08-10T23:48:40-04:00";null
"js3-node1";"2018-08-10T23:49:00-04:00";null
"js3-node1";"2018-08-10T23:49:20-04:00";null
"js3-node1";"2018-08-10T23:49:40-04:00";null
"js3-node1";"2018-08-10T23:50:00-04:00";null
"js3-node1";"2018-08-10T23:50:20-04:00";null
"js3-node1";"2018-08-10T23:50:40-04:00";null
"js3-node1";"2018-08-10T23:51:00-04:00";0
"js3-node1";"2018-08-10T23:51:20-04:00";null
"js3-node1";"2018-08-10T23:51:40-04:00";null
"js3-node1";"2018-08-10T23:52:00-04:00";null
"js3-node1";"2018-08-10T23:52:20-04:00";null
"js3-node1";"2018-08-10T23:52:40-04:00";null
"js3-node1";"2018-08-10T23:53:00-04:00";null
"js3-node1";"2018-08-10T23:53:20-04:00";null
"js3-node1";"2018-08-10T23:53:40-04:00";null
"js3-node1";"2018-08-10T23:54:00-04:00";0
"js3-node1";"2018-08-10T23:54:20-04:00";null
"js3-node1";"2018-08-10T23:54:40-04:00";null
"js3-node1";"2018-08-10T23:55:00-04:00";null
"js3-node1";"2018-08-10T23:55:20-04:00";null
"js3-node1";"2018-08-10T23:55:40-04:00";null
"js3-node1";"2018-08-10T23:56:00-04:00";null
"js3-node1";"2018-08-10T23:56:20-04:00";null
"js3-node1";"2018-08-10T23:56:40-04:00";null
"js3-node1";"2018-08-10T23:57:00-04:00";0
"js3-node1";"2018-08-10T23:57:20-04:00";null
"js3-node1";"2018-08-10T23:57:40-04:00";null
"js3-node1";"2018-08-10T23:58:00-04:00";null
"js3-node1";"2018-08-10T23:58:20-04:00";null
"js3-node1";"2018-08-10T23:58:40-04:00";null
"js3-node1";"2018-08-10T23:59:00-04:00";null
"js3-node1";"2018-08-10T23:59:20-04:00";null
"js3-node1";"2018-08-10T23:59:40-04:00";null
"js3-node1";"2018-08-11T00:00:00-04:00";0
"js3-node1";"2018-08-11T00:00:20-04:00";null
"js3-node1";"2018-08-11T00:00:40-04:00";null
"js3-node1";"2018-08-11T00:01:00-04:00";null
